"""","E14_パルプ･紙･_紙加工品製造業_事業所数","E14_パルプ･紙･_紙加工品製造業_従業者数","   E15_印刷・同関連業_事業所数","   E15_印刷・同関連業_従業者数","   E16_化学工業_事業所数","   E16_化学工業_従業者数"," E17 石油製品･_  石炭製品製造業_事業所数"," E17 石油製品･_  石炭製品製造業_従業者数","  E18_ﾌﾟﾗｽﾁｯｸ製品製造業_事業所数","  E18_ﾌﾟﾗｽﾁｯｸ製品製造業_従業者数"
"総 数","62.0","945.0","218.0","1612.0","115.0","5773.0","21.0","1004.0","141.0","2115.0"
"","","","","","","","","","",""
"  和歌山市","17.0","259.0","85.0","792.0","66.0","4323.0","4.0","142.0","21.0","393.0"
"  海 南 市","12.0","67.0","14.0","84.0","8.0","270.0","5.0","354.0","37.0","588.0"
"  橋 本 市","7.0","49.0","7.0","22.0","6.0","127.0","-","-","8.0","52.0"
"  有 田 市","1.0","23.0","5.0","21.0","5.0","249.0","2.0","475.0","5.0","31.0"
"  御 坊 市","1.0","17.0","7.0","20.0","4.0","99.0","-","-","5.0","91.0"
"  田 辺 市","6.0","56.0","18.0","103.0","2.0","2.0","-","-","9.0","104.0"
"  新 宮 市","3.0","8.0","10.0","28.0","1.0","12.0","3.0","6.0","-","-"
"  紀の川市","7.0","266.0","12.0","58.0","7.0","123.0","1.0","5.0","13.0","263.0"
"  岩 出 市","-","-","7.0","53.0","2.0","11.0","2.0","5.0","1.0","1.0"
"","","","","","","","","","",""
"  紀美野町","-","-","1.0","2.0","-","-","-","-","12.0","135.0"
"","","","","","","","","","",""
"  かつらぎ町","-","-","5.0","141.0","3.0","298.0","-","-","5.0","24.0"
"  九度山町","-","-","2.0","4.0","-","-","-","-","1.0","2.0"
"  高 野 町","2.0","6.0","4.0","14.0","-","-","-","-","1.0","2.0"
"","","","","","","","","","",""
"  湯 浅 町","1.0","4.0","6.0","13.0","3.0","50.0","-","-","2.0","10.0"
"  広 川 町","-","-","1.0","5.0","1.0","11.0","-","-","-","-"
"  有田川町","1.0","11.0","7.0","92.0","-","-","-","-","4.0","52.0"
"","","","","","","","","","",""
"  美 浜 町","-","-","2.0","4.0","-","-","-","-","3.0","64.0"
"  日 高 町","-","-","1.0","2.0","1.0","39.0","1.0","1.0","1.0","23.0"
"  由 良 町","-","-","1.0","1.0","-","-","-","-","3.0","111.0"
"  印 南 町","1.0","153.0","-","-","-","-","-","-","1.0","3.0"
"  みなべ町","1.0","9.0","1.0","5.0","2.0","134.0","-","-","2.0","11.0"
"  日高川町","-","-","1.0","25.0","1.0","6.0","2.0","13.0","3.0","55.0"
"","","","","","","","","","",""
"  白 浜 町","1.0","5.0","8.0","23.0","-","-","-","-","-","-"
"  上富田町","1.0","12.0","2.0","67.0","3.0","19.0","-","-","3.0","90.0"
"  すさみ町","-","-","2.0","4.0","-","-","-","-","-","-"
"","","","","","","","","","",""
"  那智勝浦町","-","-","4.0","10.0","-","-","-","-","-","-"
"  太 地 町","-","-","-","-","-","-","-","-","-","-"
"  古座川町","-","-","1.0","5.0","-","-","-","-","-","-"
"  北 山 村","-","-","-","-","-","-","-","-","-","-"
"  串 本 町","-","-","4.0","14.0","-","-","1.0","3.0","1.0","10.0"
